problem,answer,problem_image_1,problem_image_2,answer_image_1,answer_image_2
"Úsáid na ceannteidil sa tábla thíos agus déan cur síos ar an lorg carbóin a bhaineann le baisceanna beaga páirteanna cairr a tháirgeadh, amhail an brac a
 thaispeántar, agus priontáil 3T á húsáid seachas próisis thraidisiúnt déantúsaíochta.
Ídiú fuinnimh:
Giniúint dramhaíola:
Na hábhair a úsáidtear:","Ídiú fuinnimh:  
Is féidir go leor ama a thógáil gach táirge a phriontáil agus úsáid á baint as fuinneamh 
leictreach a bhíonn ag rith ar feadh uaireanta fada an chloig. Déanfaidh gearradh miotail 
traidisiúnta an t-ábhar a mhúnlú go tapa agus úsáid á baint as meaisíní ardchumhachta.  
Giniúint dramhaíola:  
Is lú dramhaíola a ghintear trí phriontáil 3D, déanfaidh déantúsaíocht dhealaitheach 
druileála agus gearrtha ábhair dramhaíola a ghiniúint. Ní chruthóidh cineálacha eile 
déantúsaíochta traidisiúnta cuir i gcás múnlú insteallta nó teilgean mórán dramhaíola. 
Na hábhair a úsáidtear:  
Baineann priontáil 3D le hábhair phlaisteacha (e.g. PLA, ABS, srl.) ach baineann sí anois le 
raon níos leithne plaisteach, comhdhéanamh agus miotal lena n-áirítear alúmanam agus 
cruach dhosmálta. Is féidir le déantúsaíocht thraidisiúnta an raon iomlán ábhar a phróiseáil.",Technology_Q12_I.png,,,
" Is bord cliste é eBörd a bhfuil cumas luchtaithe gan sreang ionchorpraithe ina dhromchla gloine.  Gineann sé fuinneamh tríd an solas laistigh agus lasmuigh a cheapadh.
(i) Luaigh tiontú fuinnimh amháin a tharlaíonn sa bhord eBörd. 
(ii) Tabhair breac-chuntas ar dhá chúis le miotail fheadánacha a úsáid i ndearadh an bhoird 
a thaispeántar.","(i) Fuinneamh gréine/solais go fuinneamh leictreach. 
Fuinneamh leictreach go fuinneamh maighnéadach agus 
fuinneamh maighnéadach go fuinneamh leictreach/ceimiceach 
(ii) Déanann siad an struchtúr níos déine agus níos lú solúbtha, úsáidtear níos lú miotail, 
codanna tolla chun tithe agus comhpháirteanna eile a shreangú, neart méadaithe, 
éadrom srl.  ",Technology_Q13_E.png,,,
" Úsáidtear greamacháin eapocsacha agus gliú PVA go coitianta nuair a bhíonn ábhair á gcóimeáil. 
(i) Mol feidhm chuí do roisín eapocsach agus do ghliú PVA.
Roisín eapocsach:
Gliú PVA:
(ii) Luaigh dhá ghuais sábháilteachta nach mór a bheith airdeallach 
orthu agus greamacháin á n-úsáid.","(i) Roisín eapocsach:  
is féidir é a úsáid mar bhailchríoch bhuan nó le haghaidh feidhmeanna nascála láidre 
cuir i gcás tógáil, miotail agus cumaisc ghreamaitheacha chomh maith le plaisteach 
agus adhmaid, deisiú raon iomlán míreanna ó sheodra go báid, srl. 
 
 Gliú PVA:  
greamacháin adhmaid agus pháipéir, críocha ealaíon agus ceardaíochta, ceangal 
leabhar, srl.  
(ii) Úsáid tuaslagóirí, giniúint múch, frithghníomhú craicinn le greamacháin, an baol ann 
go ndéanfar an t-úsáideoir a ghreamú le greamachán, srl. ",Technology_Q14_E.png,,,
"Úsáidtear feistí agus córais atá nasctha leis an idirlíon in Ionaid Chónaithe Chliste chun feabhas  
a chur ar fheidhmiúlacht.
 (i) Ainmnigh trí fheiste a d'fhéadfaí a rialú le córas uathoibrithe baile.
 (ii) Mínigh conas a d'fhéadfaí éifeachtúlacht fuinnimh a fheabhsú trí chóras uathoibrithe baile a shuiteáil:","(i) Teirmeastait chliste le haghaidh téimh, córais soilsithe, córais ghlásála, cloigíní dorais, córais cheamara, sonaid braiteoirí gluaiseachta, rialú dallóg agus scáthánna, monatóirí deataigh agus CO, srl.
(ii) D'fhéadfadh sé go mbeadh múcadh uathoibrithe, rialú gutha ag socruithe, is féidir córais a chomhtháthú le rialú teochta nó soilsithe, is féidir monatóireacht a dhéanamh ar ídiú fuinnimh agus ar théamh uisce, bainistíocht cumhachta, cianobriú srl.",Technology_SB-Q2a_E.png,,,
"Taispeántar thall mol rialaitheora le haghaidh teach cliste atá feistithe 
ar bhalla. 
 (i) Agus samplaí á n-úsáid agat, déan cur síos ar gach ceann de na páirteanna a leanas de chóras uathoibrithe baile:
- Mol rialaitheora
- Soilsiú cliste agus teirmeastait chliste 
- Braiteoirí agus ceamaraí
(ii)  Mínigh na téarmaí comhéadan úsáideora agus Bluetooth.
(iii)  Tabhair breac-chuntas ar dhá bhealach chun príobháideachas agus slándáil sonraí a chosaint nuair a bhíonn córais uathoibrithe bhaile á n-úsáid.","(i) An mol rialaitheora: déanfaidh an gléas seo córais uathoibrithe baile a bhainistiú agus 
a chomhtháthú. Soláthraíonn sé rialú láraithe, tacaíonn sé le comhoiriúnacht an 
ghléis, slándáil agus príobháideacht a chinntiú, d'fhéadfadh cumas na cianrochtana a 
bheith aige, srl.  
Soilsiú cliste agus teirmeastait: is féidir cianrialú nó rialú braiteora a bheith ag córais 
teasa agus soilsithe. Is féidir le córais eispéiris thumthacha a chruthú (soilsiú 
atmaisféarach nó idirghníomhach)  
Braiteoirí agus ceamaraí: is féidir iad a úsáid chun taifeadadh, monatóireacht agus 
rialú a dhéanamh ar ghníomhaíocht. 
(ii) Bluetooth: Bluetooth: Is caighdeán cumarsáide gan sreang é Bluetooth a éascaíonn 
malartú sonraí gearr-raoin idir gléasanna leictreonacha. 
(iii) Úsáid pasfhocal láidir, criptiú, nuashonruithe bogearraí, fíordheimhniú gléis, 
athbhreithniú a dhéanamh ar shocruithe príobháideachta, modhanna stórála sonraí a 
mheas, srl. ",Technology_SB-Q2b_E.png,,,
"Is gá go mbeadh ardcháilíocht ag feistí, amhail córais uathoibrithe bhaile, agus iad  a bheith sábháilte lena n-úsáid. 
 (i) Mínigh dhá ceann ar bith de na gnéithe cáilíochta seo: feidhmiú, comhréireacht, agus iontaofacht.
(ii) Mínigh go hachomair gach ceann de na céimeanna atá i dTimthriall Deming.","(i) Feidhmíocht:  
Ní mór don mhol a fheidhmeanna riachtanacha a dhéanamh gach uair ar 
bhealach éifeachtúil. D'fhéadfadh droch-chaighdeán a meastar a bheith ann a bheith 
mar thoradh ar dhrochfheidhmíocht, rud a laghdóidh a iomaíochas sa mhargadh. 
Comhréireacht:  
a mhéid a chomhlíonann dearadh agus saintréithe oibriúcháin táirge caighdeáin 
bhunaithe. 
Iontaofacht:  
Léiríonn an ghné seo an dóchúlacht go mbeidh táirge ag mífheidhmiú nó ag cliseadh 
laistigh de thréimhse ama shonraithe. 
(ii) Plean:    Comhpháirteanna próiseas gnó a dhearadh nó a athbhreithniú  
chun torthaí a fheabhsú 
Déan:    An plean a chur i bhfeidhm agus a fheidhmíocht a thomhas 
Seiceáil/Staidéar:  Measúnú a dhéanamh ar na tomhais agus na torthaí a 
huairisciú do na cinnteoirí 
Gníomhaigh:   Cinneadh a dhéanamh maidir le hathruithe a theastaíonn chun 
an próiseas a fheabhsú 
",,,,
"Mar chuid de na hiarrachtaí le marcanna bóthair a chur ar  fáil atá éifeachtach agus a bhfuil ard-infheictheacht ag  baint leo, tá mullaird sholúbtha á n-úsáid níos mó agus  níos mó chun lánaí rothaíochta a líniú, chun páirceáil a  rialú, nó chun feithiclí a choinneáil amach óna chéile. 
(i) Tabhair breac-chuntas ar dhá bhuntáiste a bhaineann le mullaird sholúbtha a úsáid.
(ii) Mol ábhar plaisteach cuí a úsáidtear chun na mullaird seo a tháirgeadh. Tabhair
 cúis le do rogha.","(i) s féidir iad a fheiceáil go héasca agus bíonn siad frithchaiteach istoíche, déanfar iad a 
lúbadh gan bhriseadh, is lú damáiste a dhéanfar d'fheithiclí a bhuailfidh iad, srl. 
(ii) Polapróipiléin/ABS/polacarbónáit/polúireatán: ábhar plaisteach frithsheasmhach, is 
féidir iad a mhúnlú go héasca, is féidir iad a athchúrsáil más gá iad a athsholáthar, 
friotaíocht uv, srl.",Technology_SB-Q3a_E.png,,,
"Tá raon gnéithe dearaidh ag an e-rothar Leaos, ar a n-áirítear grianluchtú comhtháite, hanlaí de shnáithín carbóin agus fráma nuálach de mhiotal 
comhdhlúite. 
(i) Déan cur síos ar chomhbhaill agus ar oibríocht córais luchtaithe atá cumhachtaithe ón bpríomhlíne agus ar chóras grianluchtaithe don e-rothar.","Beidh gá le painéal gréine ag luchtú gréine chun fuinneamh gréine a ghabháil, córais 
rialaitheora agus braiteora gréine chun an lucht leictreach a phróiseáil. Déanfaidh an 
cadhnra fuinneamh a bhailiú, a stóráil agus a dháileadh don rothar leictreach. 
Is féidir córas luchtaithe príomhlíonra a úsáid chun cur leis an gcadhnra nó chun lucht 
iomlán a thabhairt don chadhnra agus don rothar leictreach. ",Technology_SB-Q3b_I.png,,Technology_SB-A3b_E.png,
"Tabhair breac-chuntas, agus sceitsí anótáilte á n-úsáid
 agat, ar dhá bhuntáiste a bhaineann le fráma rothair a
 tháirgeadh trína chomhbhrú as miotal leatháin","Tá níos lú ailt tháthaithe ag an bhfráma fillte 
lenar féidir an struchtúr a neartú. 
Is féidir an fráma toll a úsáid chun cadhnraí 
agus ciorcaid a stóráil. 
Tá an struchtúr toll righin ach fós éadrom, 
marthanach srl. ",,,,
"Ríomh an fuinneamh iomlán a ghineann grianphainéal i
 4 uair an chloig má tá aschur 50 vata aige in aghaidh
 na huaire agus éifeachtúlacht 15%.","$ \text{Éifeachtúlacht } 15\% &= 0.15 \\
    \text{Fuinneamh iomlán} &= (50 \, \text{vata/uair} \times 4 \, \text{uair}) \times 0.15 = 30 \, \text{vata/uair}$",,,,
" As snáithín carbóin a tháirgtear ‘cró’ na hanlaí don e-rothar.  
Tabhair breac-chuntas ar dhá chúis a n-úsáidtear snáithín carbóin
 do na hanlaí.","In ann tuairt a sheasamh – ábhar dian, éadrom, is féidir é a dhathú, 
is féidir cruthanna casta a tháirgeadh, láidir, frithsheasmhach in 
aghaidh stróicthe, tarraingt aeistéitiúil, srl.  ",Technology_SB-Q3c_I.png,,,
"Déan comparáid idir monarú hanlaí feadánacha agus hanlaí
 snáithín carbóin agus tagairt agat do dhéantúsaíocht, do
 chomhtháthú gnéithe, agus do mhealltacht aeistéitiúil.",,,,Technology_SB-A3c_I.png,
"Braitheann sábháilteacht úsáideora rothair go mór ar chlogad a chaitheamh.  Taispeántar fréamhshamhail de chlogad ina bhfuil teicneolaíochtaí sábháilteachta agus cúnaimh don rothaí ar a n-áirítear LIDAR, aghaidhsciath, soilsiú LED, agus acmhainn chumarsáide. 
Pléigh an méid a chuireann dhá ghné ar bith atá sa fhréamhshamhail
 den chlogad le sábháilteacht an úsáideora.","(i) LIDAR / córas cumarsáide   tabharfaidh sé guaiseacha le fios. 
Na soilse LED     tugann siad soilsiú láidir do chúl an chlogaid. 
Aghaidhsciath/Scáthlán tosaigh  déanfaidh siad na súile/an aghaidh a chosaint ar 
dheannach/ar chuileoga srl. ",Technology_SB-Q3d_E.png,,,
Tabhair breac-chuntas ar dhá bhuntáiste a bhaineann le priontáil 3T mar mhodh táirgthe le haghaidh líneáil inmheánach an chlogaid a bhfuil cumaí maolaithe turrainge ag baint léi.,"Tabhair breac-chuntas ar dhá bhuntáiste a bhaineann le priontáil 3T mar mhodh táirgthe le haghaidh líneáil inmheánach an chlogaid a bhfuil cumaí maolaithe turrainge ag baint léi.
D'fhéadfaí í a shaincheapadh do dhuine aonair le scanadh 3D, dramhaíl laghdaithe le déantúsaíocht breiseánach, déanfaidh sí teas a scaipeadh le dearadh mogallra, éadrom, srl.",,,,
"Ceanglaíonn agus rialaíonn Idirlíon na nEarraí (IoT) feistí.  Cuireann Idirlíon na hIompraíochta (IoB i mBéarla) síneadh le hacmhainní Idirlíon na nEarraí (IoT) trí anailís a dhéanamh ar iompraíocht chomh maith le feistí a nascadh agus sonraí a bhailiú as loirg dhigiteacha aonair. 
Cad is lorg digiteach ann?","Tagraíonn lorg digiteach do rian na sonraí agus na faisnéise a fhágann daoine aonair ina ndiaidh agus iad i mbun gníomhaíochtaí ar líne. Is féidir sonraí pearsanta, roghanna, iompraíochtaí ar líne, agus patrúin chumarsáide a bheith i measc na ngnéithe a áirítear le lorg digiteach.",,,,
Mol dhá fhoinse sonraí don IoB.,"Gléasanna inchaithe (iorgairí, uaireadóirí cliste, srl.), Aipeanna gutháin, na meáin shóisialta, braiteoirí bithmhéadracha, ceamaraí agus córais mhonatóireachta, srl.",,,,
Mol mionathrú ar an tsreabhchairt a chasfaidh air an spréire uisce má bhraitear gluaisne níos minice ná aon uair amháin.,"Cuir frithfheidhm, (cuimsitheach/comparáideach/léirithe) ordú leis nó cuir an t-aschur i 
ndiaidh an dara ordú comparáideach, chun an t-aisréadóir a ghníomhachtú.",,,,
Mol bealach leictreonach chun fuaim choiscthe a dhéanamh.,Callaire/dordánaí písileictreach atá nasctha leis an mbraiteoir gluaiseachta. ,,,,
"CAD/CAM software generates G-codes and M-codes to control CNC machines. 
Explain the terms CAD, CAM, and CNC. ","CAD: Líníocht/dréachtú ríomhchuidithe
CAM:  Monarú ríomhchuidithe
CNC: Ríomhrialú uimhriúil ",,,,
"
Outline the operation of a closed-loop control system.","Tugtar rialú aiseolais ar rialú lúbta freisin. Déantar an freagra nó an toradh a chur i gcomparáid go leanúnach leis an toradh atá ag teastáil. Déantar an t-aschur rialaithe a choigeartú chun aon diall a laghdú, cinntíonn sé seo go leanfaidh an freagra an toradh atá ag teastáil.",,,,
"Is ar phrionsabal an ionduchtaithe leictreamaighnéadaigh a oibríonn 
luchtairí gan sreang. 
Tabhair breac-chuntas ar oibríocht an luchtaire gan sreang
 a thaispeántar.","Aisíúíl, níos sábháilte agus déantar truipeáil a chosc, an iliomad gléasanna a luchtú le chéile, is féidir luchtú trí a chomhthúthú i dtroscán/feithiclí srl",Technology_O2-Q2a_E.png,,,
Mol dhá bhuntáiste a bhaineann le feistí a luchtú gan sreang," Tá an luchtaire ceangailte le soláthar cumhachta, nuair a dhéantar é a chasadh air, 
gineann sé sruth ailtéarnach (SA) i gcorna laistigh den luchtaire a tháirgeann réimse 
leictreamaighnéadach. Nuair a chuireann tú gléas ar an luchtaire faigheann sé an 
réimse maighnéadach ón luchtaire agus iompaíonn sé ina shruth SD é chun an 
cadhnra a luchtú. ",,,,
"Ríomh minicíocht an aschuir i gcás:
$R_1 = 10$ kΩ, $R_2 = 60$ kΩ agus $C= 10 \mu F$.
Nóta: $f = 1.44 / ((R_1 + 2R_2) \times C)$","$f = 1.44 / ((R_1 + 2R_2) \times C) = 1.44 / ((10000 + (2 \times 60000)) \times 0.00001)$
$1.44 / (130,000 \times 0.00001) = 1.44 / 1.3 \quad f = 1.107$ Hz",,,,
"Taispeántar an sainchuar le haghaidh teirmeastair. 
Luaigh neasfhriotaíocht an teirmeastair ag 0°C .
",Ón ngraf: 8 $\Omega$   (+/-1),Technology_O2-Q2c_I.png,,,
Mínigh cén fáth a bhfuil raon éifeachtach idir-10°C  agus 20°C  ag an teirmeastar seo,"Ag -10°C, ardaítear an graf go géar rud a dhéanann difríocht chruinn teochta 
dúshlánach. Os cionn 20°C, ní dhéanann an teirmeastóir athrú suntasach ar 
fhriotaíocht. ",,,,
"Tabhair breac-chuntas ar an bhfeidhm atá ag
 trasraitheoirí agus athsheachadáin nuair a bhíonn
 ciorcaid loighce á dtógáil.","Trasraitheoir:  cruthóidh sé athrú leictreonach/aimpliú srutha do chiorcaid leictreonacha.
Athsheachadán:  soláthraíonn sé modh chun ciorcaid voltais níos airde a rialú (lena n
áirítear soláthar príomhlíonra) agus úsáid á baint as ciorcad 
leictreonach ísealvoltais.  ",,,,
"Tá cáil bainte amach ag an réalta sacair Cristiano Ronaldo, chomh maith le daoine mór le rá eile amhail Kylie Jenner agus Selina Gomez, mar thionchairí meán sóisialta. 
Tabhair breac-chuntas ar bhuntáiste amháin agus ar mhíbhuntáiste amháin a bhaineann le tionchar sóisialta a bheith á imirt.","Tabhair breac-chuntas ar bhuntáiste amháin agus ar  
mhíbhuntáiste amháin a bhaineann le tionchar sóisialta a bheith á imirt.  
  Buntáistí a bhaineann le tionchar sóisialta a bheith á imirt. 
  Feasacht táirge, fionnachtain táirge, lascainí agus tairiscintí, fás brandaí. 
 
Míbhuntáistí a bhaineann le tionchar sóisialta a bheith á imirt. Is féidir le hábhar 
bréagach, ábhar míthreorach, bealach maireachtála áirithe a léiriú a chuireann brú ar 
dhaoine óga é a bhaint amach srl. ",,,,
" Mínigh na téarmaí tionchaire meán sóisialta a leanas; spóil
 (reels i mBéarla), formhuinithe (endorsements) agus naisc chleamhnaithe (affiliate
 links).","Spóil:  
  deis a thabhairt dothionchairí físeáin ghearra a chruthú agus a roinnt. Is iondúil go 
maireann siad idir 15 agus 60 soicind agus is féidir ceol, téacs, greamáin, agus 
éifeachtaí speisialta a áireamh leo. Tá tóir ar spóil ó thaobh ábhar cruthaitheach agus 
tarraingteach a thaispeáint, lena n-áirítear ranganna teagaisc, dúshláin, agus 
sracfhéachaintí ar an méid a bhíonn ar siúl sa chúlra srl. 
  
  Ráitis tacaíochta:  
  tarlaíonn ráitis tacaíochta agus tarlaíonn comhthionscadail nuair a théann tionchaire 
ar na meáin shóisialta i gcomhpháirtíocht le cuideachta chun a gcuid seirbhísí nó 
táirgí a chur chun cinn. Úsáideann an tionchaire a ardán chun ábhar a thaispeánann 
nó a thacaíonn leis an mbranda a chruthú. Is féidir é seo a dhéanamh trí phoist 
urraithe, físeáin, spóil, scéalta srl. 
  
  Naisc chleamhnaithe: 
  is URLanna ar leith iad a chuireann brandaí nó cláir chleamhnaithe ar fáil do 
thionchairí. Nuair a roinneann an tionchaire an nasc lena lucht leanúna is féidir leo 
cliceáil air agus ceannach lascainithe a dhéanamh. Ansin tuilleann an tionchaire 
coimisiún nó céatadán den díolachán do gach ceannach ó dhuine den lucht leanúna.",,,,
"I sonraíocht an fhóin chliste an Samsung Galaxy S22 Ultra, cuimsítear luchtú gasta, cumas stórála infhairsingithe agus ceamara ceithre lionsa ina bhfuil splanc LED, auto-HDR a bheidh in ann físeáin 4k a ghlacadh de réir 30/60 fps agus físeáin 8K de réir 24 fps. 
Mínigh an ghné fóin físeáin 4K de réir 30/60 fps","Tá taifeach cothrománach thart ar 4000 picteilín ag físeáin 4K leis an gcaighdeán  
  3840 × 2160. 
 
  Seasann an ""fps"" in ""30/60 fps"" do ""frámaí in aghaidh an tsoicind."" Léiríonn sé líon  
  na bhfrámaí nó na n-íomhánna aonair a thaispeántar i soicind amháin den fhíseán.",,,,
"Déan cur síos, agus samplaí á n-úsáid agat, ar gach ceann de na córais
 chosanta fóin seo a leanas:
 • Ceantar slán (secure enclave) le haghaidh sonraí bithmhéadracha
 • Prótacail chumarsáide atá slán
 • Cianrianú agus ciandíothú.","Ceantar slán (secure enclave) le haghaidh sonraí bithmhéadracha:  
limistéar tiomnaithe agus scoite laistigh d'ailtireacht crua-earraí nó bogearraí an 
ghutháin atá deartha chun faisnéis bhithmhéadrach íogair a stóráil, a phróiseáil agus 
a bhainistiú go daingean chun críocha fíordheimhnithe. Baineann sé seo go háirithe 
le gutháin chliste ina n-úsáidtear sonraí bithmhéadracha, cuir i gcás méarloirg nó 
scanadh aghaidhe, go coitianta chun gléasanna a dhíghlasáil, idirbhearta a údarú 
agus slándáil fhoriomlán a fheabhsú. 
Prótacail chumarsáide atá slán:  
Tagraíonn prótacail chumarsáide atá slán do ghutháin do na modhanna agus na 
caighdeáin a úsáidtear chun slándáil, príobháideacht agus sláine na sonraí a 
tharchuirtear idir gléasanna móibíleacha agus córais eile a chinntiú. Áirítear leis seo 
úsáid HTTPS (Prótacal Aistrithe Hipirtéacs Slán), VPN (Líonra Príobháideach Fíorúil), 
srl. 
Cianrianú agus ciandíothú:  
Cumais chianrianaithe, chianghlasála agus chiandíothaithe trí ghnéithe cuir i gcás 
""Aimsigh Mo Ghuthán"" chun gléas caillte a aimsiú agus sonraí íogaire a chosaint nó a 
bhaint.",,,,
"Tabhair breac-chuntas ar dhá bhuntáiste a bhaineann sonraí a aistriú
 ag úsáid USB Cineál C.","Tá nasc Cineál-C inchúlaithe (is féidir é a úsáid i gceachtar treo), tá luas aistrithe níos 
fearr aige, is féidir nascadh le go leor gléasanna srl.",,,,
