problem,answer
"Freagair dhá cheist ar bith.
Ceist 13
(b) Réimse den IS atá in amharc ríomhaireachtúil a bhaineann feidhm as teicnící meaisínfhoghlama chun samháltaín a thorbhairt atá abálta nithe a aithint in íomhá.

Déan staidéar ar an iomhá a thaispeántar i bhFíor 5 agus freagair na ceisteanna ina diaidh.
(i) Maidir le hamharc ríomhaireachtúil, cad a léiríonn na céatadáin a thaispeántar i bhFíor 5?","Léiríonn na céatadáin leibhéal muiníne a thug an tsamhail ais go bhfuil an iomhá rangaithe i gceart mar an lipéad bunaithe air. Mar shampla, cot: Ciallaíonn 94% go bhfuil an algartam 94% muiníneach go bhfuil cat aitheanta aige ar an gcuíd seo den íomhá."
"Freagair dhá cheist ar bith.
Ceist 13
(b) Réimse den IS atá in amharc ríomhaireachtúil a bhaineann feidhm as teicnící meaisínfhoghlama chun samháltaín a thorbhairt atá abálta nithe a aithint in íomhá.

Déan staidéar ar an iomhá a thaispeántar i bhFíor 5 agus freagair na ceisteanna ina diaidh.
(ii) Mol dhá fheidhm don chineál seo teicneolaíochta agus déan cur síos ar an mbealach a bhféadfadh gach feidhm a bheith tairbheach sa tsochaí.
Feidhm 1:
Tairbhe:

Feidhm 2:
Tairbhe:","Is féidir fíís ríomhaire a úsáid chun galair a bhrath go luath trí íomháú leighis.
*   Is féidir le teicneolaíocht ríomhaireachta Úsáid í gcearranna feithiclí uathrialacha) chun rudaí sábháilteacht ar bhóithre a fheabhsú trí rudaí meithiclí a chumasc contúirtís cosaithe, rothithe, feithicli eile, ainmhithe srl, a bhrath agus a fhreagairt i bhfíor-am, ag laghdú an baol timpistí.
*   Is féidir fís ríomhaire a chur i bhfeidhm den chreideún a chur leis an ngá atá le seiceáil amach in ollmhargaí agus asraonta miondíola eile, rud a fheabhsóidh an t-eispéireas siopadóireachta do chustaiméirí agus go laghdaítear an mhiníocíocht gadaíochta.
*   Is féidir fís ríomhaire anailís a dhéanamh ar aerfoirmheanna chun monatóireacht a dhéanamh ar an athrú a uillse in mbarr galair a bhrath, agus úsáid í bharrghabhsóirí. Cuidíonn sé seo le feirmeoirí cinntí eolasacha a dhéanamh, tairgeacht na mbarr a mhéadú, agus úsáid lotnaidicídi agus uisce a laghdú.
*   Tá an poitéinseal ag teicneolaíocht Aitheadhas Aghaidhe feabhas a chur ar shlándáil trí dhaoine aonair a aithint agus a rianú í spásanna poiblí, aerfoirt agus limistéir arsdándála eile.
*   Is féidir fís ríomhaire a úsáid i róbait chun táirgí casta a aithint agus a chur le chéile go fadaire, ag cur le héifeachtúlacht agus beachtas sa déantúsaíocht.
*   Is féidir fís ríomhaire a úsáid chun monatóireacht agus a dhéanamh ar speicis atá i mbaol, ag cabhrú le caomhnóirí flúirseadh agus a ngnóthaíga a chosaint.
*   Is féidir le feidhmchláir réaltachta méadaithe a úsáideann fís ríomhaire eispéiris foghlama idirghníomhacha a fheabhsú, rud a fhágann go mbeidh an t-oideachas níos tarraingtí agus níos inrochtainta.
*   Aon chur í bhfeidhm réasúnach fís ríomhaire agus tairbhe a bhaineann leis.
Go gcás feidhhmchláir atá ainmnithe aigeart de theicneolaíocht fís ríomhaireacht."
"Freagair dhá cheist ar bith.
Ceist 13
(b) Réimse den IS atá in amharc ríomhaireachtúil a bhaineann feidhm as teicnící meaisínfhoghlama chun samháltaín a thorbhairt atá abálta nithe a aithint in íomhá.

Déan staidéar ar an iomhá a thaispeántar i bhFíor 5 agus freagair na ceisteanna ina diaidh.
(iii) Léigh an dá chás shamplacha thíos agus cuir in iúl sa dá chás cé acu an bhféadfaí úsáid a bhaint as IS mheaisínfhoghlama nó nach bhféadfaí. Cosain gach freagra.

Cás 1: Seirbhís sruthaithe ar líne a mholann scannáin bunaithe ar nósanna féachana na n-úsáideoirí.
Cuir in iúl:
Cosain:

Cás 2: Loraire faiche uathoibrithe a úsáideann braiteoirí chun a shealach a dhéanamh i spás taobh amuigh agus chun bacainní a sheachaint fad is atá an fear á bhaint.
Cuir in iúl:
Cosain:","*   Cás 1: IS: D'fhéadfadh an córas halgartaim meaisínfhoghlama a úsáid chun anailís a dhéanamh ar iompar úsáideoirí agus chun moltaí pearsantailte a dhéanamh, rud a cháiléoidh mar IS. Bainfeidh sé úsáid as nósanna féachana an úsáideora, déanfaidh sé í a chur i gcomparáid le húsáideoirí eile, agus déanfaidh sé réamh- mheas ar cad ba mhaith leis an úsáideoir féachaint air. Tá an iomarca úsáideoirí ar sheirbhís sruthaithe ar líne le breathú in úim riacha a chréachadh de gach úsáideoir.
*   Ní IS: I measc na gcúiseanna a d'fhéadfadh a bheith ann tá saní faoi phriobháideachas, siorraí teoranta, srianta acmhainní nó íoschostais i leith simplíochta.
*   Cás 2: Is: Úsáideann an lomáire uathoibrithe braiteoirí chun nascleabhanna a dhéanamh, rud a éigeann IS chun constaicí a sheachaint agus chun cosán a phleanáil.
*   Ní IS: Cé go n-úsáideann sé braiteoirí agus a úathoibritheann braiteoirí go hiondúil ar rialacha réamhshainithe (seachas teicnící meaisínfhoghlama) chun bogadh thart agus ímbualtaí a sheachaint. Go hiondúil ní fhoghlaimíonn lomaire faiche uathoibrithe ná ní chuireann siad in oiriúint dá dtímpeallacht. Dá bhrí sin, is minic a dhantarí iad isteachóiri mar róbait nó uathoibriú seachas IS.
Go gcás gach fírinninte (aon aon mharc as tá/ní a rós):"
"Freagair dhá cheist ar bith.
Ceist 13
(b) Réimse den IS atá in amharc ríomhaireachtúil a bhaineann feidhm as teicnící meaisínfhoghlama chun samháltaín a thorbhairt atá abálta nithe a aithint in íomhá.

Déan staidéar ar an iomhá a thaispeántar i bhFíor 5 agus freagair na ceisteanna ina diaidh.
(iv) Le blianta beaga anuas, aithníodh mórán cásanna den chlaontacht i bhfeidhmchláir amhairc ríomhaireachtúil. Mínigh modh amháin a d’fhéadfaí a úsáid chun claontacht a laghdú sna feidhmchláir sin.","*   Éagsúlacht na n-íomhánna a úsáidtear i dtacar sonraí oiliúina – cinnigh go bhfuil an tacar sonraí oiliúina éagsúil go leor chun an spriocphobal a léiriú
*   Comhfhásanna ionadaíochta sa spriocphobal sa tacar sonraí oiliúina– cinntigh go bhfuil na íomhána i sonraí oiliúina ionadaíoch sa spriocphobal
*   Méid na dtacar sonraí oiliúina – dá mhéad na samhlacha íomháina níos cruinne ann le níos lú claonta na samhlacha arna n-oiliúint ag baint úsáide as tacair shonraí níos mó thoradh ar thacar sonraí níos mó.
*   Dúine sa lúb m.sh. éagsúlacht chine, inscne srl. a chinntiú san fhoireann forbartha
*   Monatóireacht agus iniúchadh laofachta – monatóireacht leanúnach a dhéanamh ar an tacar sonraí oiliúina chun athruithe sa tsochaí a léiriú agus iniúchtaí claonta a dhéanamh
*   Aon laofacht a d'fhéadfadh teacht chun cinn san íomháchan a aithint agus a aithint a aithint aghaidh a thabhairt air.
*   Aon mhodh réasúnta eile chun claontacht a laghdú."
"Freagair dhá cheist ar bith.
Ceist 13
(c) In 2023 d’fhoilsigh Future of Life Institute litir oscailte agus d’iarr ar gach saotharlann IS sos sé mhí ar a laghad a thógáil ó bheith ag cur oiliúina ar chórais an-chumhachtach IS. Cé gur shínigh mórán acadóírí aitheanta agus ceannairí tionsclaíochta an litir, is ábhar díontaís agus spéise na daoine aonair agus na comhlachtaí nach thug tacaíocht don litir go poiblí.

Déan plé na cúiseanna ar thug roinnt daoine tacaíocht don tionscnamh sos a thógáil ón oiliúint agus ar thug daoine eile tacaíocht don tionscnamh.","*   Imní eiticiúla: Tá am ag teastáil chun a chinntiú go bhfuil IS ar aon dul le luachanna daonna agus nach gcuireann sé isteach ar phrionsabail amhail príobháideacht, cuntasacht agus agus cothroime.
*   Poist/Fostaíocht/Gaeilleagar: d'fhéadfadh luas na forbartha reatha ar chórais IS a lan post a chur i mbaol agus daoine daoine as obair. Soláthraíonn sos na forbartha deis chun aghaidh a thabhairt ar an tionchar féideartha sochaíoch ar fhostaíocht agus machnamh a dhéanamh ar an gcaoi is fearr at athoiliúint agus cur le cumais i bhfeidhm polasaithe chun éagothroime eacnamaíocha a mhaolú.
*   Rioscaí Slándála: Cruthaíonn córais ardfheidhmíochta IS, má fhorbraítear iad gan cosaintí leordhóthanacha, rioscaí slándála féideartha. Trí fhorbairt a chur ar sos bíonn am ann measúnú a dhéanamh agus aghaidh a thabhairt a thabhairt ar an imní slándála a bhaineann le mí-úsáid IS, amhail cibearbhagairtí, haiceáil agus forbairt armra atá faoi stiúradh ag IS.
*   Laochraí/ Neamh-iontaofacht: Meaisín-fhoghlaim casacht córais ardfheidhmíochta IS an baol iarrainní/ neamh-iontaofachta. Trí fhorbairt a chur ar sos is féidir measúnú níos críochnúla a dhéanamh ar na rioscaí ionchasacha agus ar na torthaí neamh-inmhianaithe, ag cinntiú go ndéantar IS a imscaradh go freagrach agus nach mbíonn tionchar diúltach gan choinne ar an tsochaí mar thoradh air.
*   Bagairt imirceach: Tá roinnt daoine ann a chreideann go bhféadfadh forbairt córais IS an-dul chun cinn (ar nós ciar-chliste) bagairt a dhéanamh ar an tsibhialtacht leananúnach na daonachta. Thabharfadh sos in am níos mó daine ann an chumas measúnú a mhéadú trí phlé oscailte faoi na rioscai agus na tairbhi a bhaineann le IS ardléibhéil.
*   Miníú ar aon phointe réasúnta eile chun forbairt chórais ardfheidhmíochtú IS a chur ar sos
*   Pointí in aghaidh an tionscnaimh:
*   Nuálaíocht agus Dul Chun Cinn: Coistealóir nuálaíocht le forbairt leanúnach ar ard IS, as a dtagann cinn ann i réimsí éagsúla, lena n-áirítear cúram sláinte, oideachas agus taighde eolaíoch. d'fhéadfadh bac a chur ar ar dul chun cinn dá gcuirfí stad ar an bhforbairt.
*   Dul chun cinn sa tSochaí: Tá an cumas ag IS aghaidh a thabhairt ar dhúshlán chasta ina sochaí, amhail athrú aeráide, éagothroime cúram sláinte, agus bainistíocht acmhainní. d'fhéadfadh bac a chur ar fhorbairt IS a chur i bhfeidhm chun teacht ar réitigh ar shaincheisteanna práinneacha domhanda.
*   Míchumhsaíocht iomaíoch: Tá tíortha agus eagraití eagrachtaí í ras chun teicneolaíochtaí IS a fhorbairt agus a ghladadh. d'fhéadfadh mibheiste iomaíocht a bheith mar thoradh ar stop a chur leis an bhforbairt, agus naisiúin a leanann le dul chun cinn IS ag fáil ceannródaíochta i réimsí eacnamaíocha, mileata agus teicneolaíochta.
*   Cruthú Post agus Fás Eacnamaíoch: Cé go bhféadfadh dílitriú post a bheith mar thoradh ar IS in earnálacha áirithe, tá an cumas aige freisin poist nua a chruthú agus fás eacnamaíoch a spreagadh. d'fhéadfai tionchar eacnamaíoch dearfach is a theorannú dá gcuirfí stop leis an bhforbairt, rud a chuirfeadh isteach ar an d'fhéadfadh leas a bhaint as éifeachtúlacht mhéadaithe agus nuálaíocht.
*   Miníu breise ar aon phointe réasúnta eile in aghaidh forbartha chórais ardfheidhmíochta IS a chur ar sos"
"Tá cur síos tsa sreabhchairt a thaispeántar i bhFíor 6 ar algartam a léann dhá luach, a bhábhtáileann iad agus a thaispeánann a luachanna nua.
(i) Luaigh na hainmneacha atá ar an dá athróg ionchuir.","Athróg ionchuir 1: a
Athróg ionchuir 2: b"
"Tá cur síos tsa sreabhchairt a thaispeántar i bhFíor 6 ar algartam a léann dhá luach, a bhábhtáileann iad agus a thaispeánann a luachanna nua.
(ii) Mínigh feidhm na hathróige t.","Is athróg sealadach í a úsáidtear chun luach a stóráil.
Gan t, caillfí inneachar a nuair a shanntar b do a"
"Tá cur síos tsa sreabhchairt a thaispeántar i bhFíor 6 ar algartam a léann dhá luach, a bhábhtáileann iad agus a thaispeánann a luachanna nua.
(iii) Úsáidtear sreabhchairteacha go minic sa phróiseas deartha chun cur síos a dhéanamh ar algartam. Luaigh buntáiste amháin agus mibhuntáiste amháin a bhaineann le sreabhchairteacha a úsáid.","Buntáistí
Is fusa iad a thuiscint ná cód (go háirithe do dhaoine nach ríomhchláraitheoirí iad).
Léiríonn léiriú amhairc na sreabhchairteacha go soiléir sreabhadh agus loighic algartam.
Tá siad neamhspleách ar aon teanga ríomhchlárúcháin.
Is uirlisí solúbtha iad a úsáidtear chun algartaim a léiriú le linn chéim deartha an phróisis.
Mibhuntáistí
Tógann siad cuid mhór ama le forbairt.
Is féidir leo éirí gan staonadh le haghaidh halgartaim mionsonraithe agus casta.
D’fhéadfadh deabhrocht a bheith mar thoradh ar easpa caighdeáin agus mearbhall a chur air."
"Taispeántar sa chód Python thíos feidhmiú an algartaim sórtála boilgeánaí.
```python
1 values = [50, 70, 30, 60, 20]
2 for i in range(len(values)):
3     for j in range(len(values)-1):
4         if values[j] > values[j+1]:
5             t = values[j+1]
6             values[j+1] = values[j]
7             values[j] = t
8
9 print(""ASCHUR:"", values)
```
(i) Luaigh cineál sonraí na hathróige, `values`.","cineál sonraí na hathróige, values. Luachanna. Is liosta (eagar)"
"Taispeántar sa chód Python thíos feidhmiú an algartaim sórtála boilgeánaí.
```python
1 values = [50, 70, 30, 60, 20]
2 for i in range(len(values)):
3     for j in range(len(values)-1):
4         if values[j] > values[j+1]:
5             t = values[j+1]
6             values[j+1] = values[j]
7             values[j] = t
8
9 print(""ASCHUR:"", values)
```
(ii) Cad é inneács an bhaill 70?",is é 1 inneács na heiliminte 70
"Taispeántar sa chód Python thíos feidhmiú an algartaim sórtála boilgeánaí.
```python
1 values = [50, 70, 30, 60, 20]
2 for i in range(len(values)):
3     for j in range(len(values)-1):
4         if values[j] > values[j+1]:
5             t = values[j+1]
6             values[j+1] = values[j]
7             values[j] = t
8
9 print(""ASCHUR:"", values)
```
(iii) Cad a chuireann an slonn `Python len(values)` ar ais?","Filleann an slonn Píotóin, len(luachanna) 5"
"Taispeántar sa chód Python thíos feidhmiú an algartaim sórtála boilgeánaí.
```python
1 values = [50, 70, 30, 60, 20]
2 for i in range(len(values)):
3     for j in range(len(values)-1):
4         if values[j] > values[j+1]:
5             t = values[j+1]
6             values[j+1] = values[j]
7             values[j] = t
8
9 print(""ASCHUR:"", values)
```
(iv) Cad a chuireann an slonn scalla `values[2:4]` ar ais?","tugann slonn slise, [2:4] an liosta ar ais, [30, 60]"
"Taispeántar sa chód Python thíos feidhmiú an algartaim sórtála boilgeánaí.
```python
1 values = [50, 70, 30, 60, 20]
2 for i in range(len(values)):
3     for j in range(len(values)-1):
4         if values[j] > values[j+1]:
5             t = values[j+1]
6             values[j+1] = values[j]
7             values[j] = t
8
9 print(""ASCHUR:"", values)
```
(v) Mínigh an chluis a nginfeadh an slonn `values[5]` earráid le linn rite.",ghinfeadh na luachanna slonn [5] earráid arna rite toisc go bhfuil inneács 5 imithe as teorainneacha
"Taispeántar sa chód Python thíos feidhmiú an algartaim sórtála boilgeánaí.
```python
1 values = [50, 70, 30, 60, 20]
2 for i in range(len(values)):
3     for j in range(len(values)-1):
4         if values[j] > values[j+1]:
5             t = values[j+1]
6             values[j+1] = values[j]
7             values[j] = t
8
9 print(""ASCHUR:"", values)
```
(vi) Luaigh buntáiste amháin agus mibhuntáiste amháin a bhaineann le tacar sonraí a shórtáil.","Buntáistí
Teastaíonn tacar sonraí le haghaidh cuardaigh dhénártha
Is féidir le sonraí sórtáilte a bheith níos éasca a úsáid m.sh. amlíne na meán sóisialta curtha in eagar de réir dáta/ama, catalóg táirgí curtha in eagar de réir costais srl.
Is féidir le sonraí sórtáilte anailís sonraí a dhéanamh níos éasca freisin m.sh. an t-airmheán nó na ceathairlíneacha de thacar sonraí a aimsiú nó patrún/treochtaí agus asluitigh a shainaithint

Mibhuntáistí
féadann halgartaim sórtála a ghlacadh
Is féidir le halgartaim sórtála acmhainní ríomhaireachta luachmhara a ithe mar LAP agus cuimhne.
Má tá tacar sonraí curtha in eagar cheana féin (nó beagánach curtha in eagar) seans nach mbadh buntáistí suntasacha ag baint leis an am ann agus na hacmhainní a chaitear ar shórtáil.
Is féidir le huifheachtaíocht na n-algartaim sórtála athrú go mór ag brath ar mhéid an tacar sonraí ionchuir, agus d’fhéidir nach mbeadh méid an tacar sonraí ar eolas roimh ré i gcónaí.
Cuireann sé seo ualach ar dhearthóirí/ríomhchláraitheoirí tuiscint mionsonraithe a bheith acu ar an algartam sórtála atá in úsáid agus feasacht ar na himpleachtaí i ngach cás.
Nuair a bhíonn tacar sonraí curtha in eagar tá costas ann chun an tacar sonraí a choinneáil i riocht sórtáilte"
"Cúig thardhul a dhéanamh ar t-algartam chun tsórtáil bholgánaí ar na slánuimhreacha in `values` a chríochna.
(i) Cuir i bhfeidhm t-algartam sórtála boilgeánaí chun sórtáil `values` a shórtáil. Taispeáin an t-inneachar in `values` tar éis gach ceann de na cúig thardhul.","Staid tosaigh values: 50 70 30 60 20
Tar éis thardhul 1: 50 30 60 20 70
Tar éis thardhul 2: 30 50 20 60 70
Tar éis thardhul 3: 30 20 50 60 70
Tar éis thardhul 4: 20 30 50 60 70
Tar éis thardhul 5: 20 30 50 60 70"
"Cúig thardhul a dhéanamh ar t-algartam chun tsórtáil bholgánaí ar na slánuimhreacha in `values` a chríochna.
(ii) Tá castacht O(n^2) sa chás is fearr agus is measa ag an algartam tsórtáil boilgeánaí. Mínigh cad is brí leis sin maidir le líon na n-oibríochtaí comparáide a chuirtear i gcrích.","I liosta de mhéid N déanann an t-algartam sórtála mboilgeog N thardhul. Déanfaidh sé oibríochtaí comparáide N-1 ar gach thardhul. Tugann sé seo iomlán na N^2 – N n-oibríochtaí I gcás N mór, is ionann é seo agus N^2, a bheag nó a mhór. Mar sin scríobhaimid O(N^2).
Is é an cás is fearr nuair a bhíonn an liosta ionchuir sórtáilte cheana féin. Is é an cás is measa ná nuair a bhíonn an liosta ionchuir in ord droim ar ais. Sa dá chás déanfaidh sórtáil mboilgeog an líon céanna comparáidí freisin.
De réir mar a mhéadaíonn líon na n-eilimintí méadaíonn líon na n-oibríochtaí comparáide go céimneach (faoi chumhacht 2). Mar shampla, mhéadóch líon na n-oibríochtaí comparáide a dhéanfaidh algartam sórtála mboilgeog ar liosta de mhéid 2N ceart go 2S. Má dhúblaíonn tú méid an ionchuir, d’fhéadfadh méadú ceithre fhaoithe a bheith ar líon na n-oibríochtaí comparáide."
"Cúig thardhul a dhéanamh ar t-algartam chun tsórtáil bholgánaí ar na slánuimhreacha in `values` a chríochna.
(iii) Mol feabhas amháin a d’fhéadfaí a chur ar an algartam a laghdódh líon na gcomparáidí nó líon na mBabhtálacha a bheadh teastáil chun sórtáil a chur i gcrích.","Feabhsú 1 (méid an liosta a laghdú faoi 1 i gach thardhul)
Ar an gcéad thardhul piocann an tsórtálaí mboilgeog an mór is mó ar an liosta go dtí an suíomh is ceart.
Bíonn ann don dara thardhul an mhéir eile is mó go dtí an dara suíomh deireadh.
Bíonn ann gach thardhul an mhéir is mó atá fágtha go dtí an áit cheart go dtí deireadh an liosta
Leanann an t-algartam caighdeánach de dhéanamh comparáide idir eilimintí cóngaracha atá sórtáilte cheana féin ag deireadh (ar dheis) an liosta cé go bhfuil siad sórtáilte cheana féin.
Is féidir an algartam a fheabhsú trí na comparáidí neamhriachtanacha seo a chosc.
Is féidir é seo a bhaint amach trí líon na gcomparáidí cóngarach a laghdú faoi 1 ar gach thardhul mar a léirítear sa chur i bhfeidhm thíos.

```
L = [50, 20, 70, 40, 60]
for i in range(len(L)):
    for j in range(len(L)-i-1):
        if L[j] > L[j+1]:
            swap = L[j+1]
            L[j+1] = L[j]
            L[j] = temp
```
NÓ

Feabhsú 2 (stad mura ndéantar babhtálacha le linn thardhul ar bith)
Is féidir feabhas eile a bhaint amach trí ‘bhratach’ a thabhairt isteach chun léiriú ar raibh babhtáil ag teastáil ar thardhul ar leith. Mura ndearnaidh aon bhabhtáil meastar an liosta a bheith sórtáilte agus is féidir deireadh a chur leis an algartam beag beann ar líon an thardhula a cuireadh i gcrích m.sh. má tá an liosta tosaigh curtha in eagar ní bheidh aon bhabhtálacha ar an gcéad thardhul. Dá bhrí sin, tá fédir an algartam a fhoirceannadh.
```
L = [50, 20, 70, 40, 60]

for i in range(len(L)):
    swap = False
    for j in range(len(L)-1):
        if L[j] > L[j+1]:
            temp = L[j+1]
            L[j+1] = L[j]
            L[j] = temp
            swap = True
    if swap == False:
        break
```"
